# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	7390
#@/user_id	161cd1e2-ea2e-4a71-9961-66087a8541a4
a 	啊	c=47 d=3.2835 t=7198
zhe jian shi 	這件事	c=1 d=1 t=2394
zhe ju 	這句	c=2 d=1.00107 t=6072
zhe li 	這裏	c=7 d=2.04711 t=4709
zhe li me 	這裏麼	c=2 d=1.00522 t=5557
zhe liang tian 	這兩天	c=1 d=1 t=3106
zhe me 	這麼	c=3 d=1 t=6349
zhe me ban 	這麼辦	c=1 d=1 t=2880
zhe men ke 	這門課	c=1 d=1 t=2002
zhe shi 	這是	c=9 d=2.03327 t=6246
zhe shi hou 	這時候	c=2 d=1.00456 t=5731
zhe xie 	這些	c=3 d=1.53534 t=5844
zhe yang 	這樣	c=9 d=1.20096 t=3788
zhe yao 	這要	c=1 d=1 t=3886
zhe zhang 	這張	c=2 d=1.95123 t=2494
zhe zhong 	這種	c=4 d=1 t=6743
zhen 	真	c=9 d=0.483854 t=7065
zhen ce 	偵測	c=1 d=1 t=4295
zhen de 	真的	c=2 d=1.00001 t=6549
zhen dong 	震動	c=1 d=1 t=2102
zhen hui wan 	真會玩	c=1 d=1 t=7066
zhen kuai 	真快	c=1 d=1 t=3304
zhen shi 	真是	c=2 d=1.00152 t=6365
zhen you 	真有	c=0 d=0.1 t=3991
zhen you yi si 	真有意思	c=1 d=1 t=3992
zhen zheng 	真正	c=1 d=1 t=693
zheng 	整	c=1 d=1 t=3687
zheng chang 	正常	c=4 d=2.6204 t=6049
zheng ge 	整個	c=3 d=1 t=6749
zheng hao 	整好	c=1 d=1 t=3692
zheng hao 	正好	c=1 d=1 t=3612
zheng qi 	整齊	c=1 d=1 t=4034
zheng ti 	整體	c=1 d=1 t=42
zheng wen 	正文	c=1 d=1 t=5121
zheng xing 	整形	c=1 d=1 t=4939
zheng zai 	正在	c=3 d=1.98511 t=7261
zhi 	之	c=2 d=1.00001 t=7317
zhi 	只	c=4 d=2.29354 t=5840
zhi bu guo 	只不過	c=4 d=1.16284 t=6918
zhi chi 	只吃	c=1 d=1 t=2283
zhi dao 	直到	c=1 d=1 t=7120
zhi dao 	知道	c=15 d=1.01663 t=6861
zhi de 	值得	c=1 d=1 t=1938
zhi fang 	只放	c=1 d=1 t=3390
zhi fei 	直飛	c=4 d=2.23158 t=6729
zhi fu bao 	支付寶	c=1 d=1 t=4126
zhi hao 	只好	c=1 d=1 t=6759
zhi hu 	支護	c=1 d=1 t=3402
zhi hu 	知乎	c=1 d=1 t=3403
zhi hui 	只會	c=2 d=1 t=4367
zhi hui 	智慧	c=1 d=1 t=1228
zhi jie 	直接	c=16 d=1.23605 t=7107
zhi neng 	只能	c=1 d=1 t=4714
zhi qian 	之前	c=8 d=1.00913 t=5391
zhi shang 	紙上	c=1 d=1 t=609
zhi shao 	至少	c=2 d=1 t=7207
zhi shen 	之神	c=0 d=0.1 t=921
zhi shi 	只是	c=4 d=1.12619 t=6096
zhi shi 	知識	c=3 d=1.0001 t=5134
zhi shi 	芝士	c=2 d=1.00613 t=2606
zhi shu 	質數	c=1 d=1 t=799
zhi tui 	只退	c=1 d=1 t=6735
zhi wu 	植物	c=4 d=3.69238 t=2309
zhi xing 	執行	c=2 d=1.97666 t=4658
zhi xing wan 	執行完	c=2 d=1.77492 t=4656
zhi yao 	只要	c=3 d=1.00017 t=6185
zhi you 	只有	c=4 d=1 t=6235
zhi yuan 	志願	c=0 d=0.1 t=7057
zhi zai 	只在	c=1 d=1 t=4675
zhong 	中	c=4 d=2.15249 t=7385
zhong duan 	終端	c=1 d=1 t=4930
zhong guo 	中國	c=7 d=1.08419 t=7287
zhong guo yi xue 	中國醫學	c=1 d=1 t=4937
zhong le 	中了	c=1 d=1 t=2629
zhong le 	腫了	c=1 d=1 t=1323
zhong wu 	中午	c=4 d=1.00053 t=5439
zhong xi 	中西	c=1 d=1 t=6810
zhong yao 	重要	c=2 d=1.82283 t=1980
zhong yi 	中醫	c=0 d=0.1 t=2266
zhong yi guan 	中醫館	c=1 d=1 t=2267
zhong yu 	終於	c=2 d=1.00001 t=4200
zhong zhuan 	中轉	c=1 d=1 t=6713
zhong zi 	種子	c=1 d=1 t=2306
zhou 	周	c=1 d=1 t=4043
zhou 	州	c=2 d=1 t=6796
zhou 	皺	c=1 d=1 t=1870
zhou liu 	週六	c=2 d=1.18177 t=2429
zhou tian 	周天	c=1 d=1 t=7240
zhou wei 	周圍	c=1 d=1 t=4850
zhu 	住	c=3 d=2.85294 t=6502
zhu 	煮	c=2 d=1.97531 t=1288
zhu ban fang 	主辦方	c=3 d=2.34847 t=487
zhu ce 	註冊	c=2 d=1 t=6982
zhu dong 	主動	c=1 d=1 t=2296
zhu jiao 	主角	c=1 d=1 t=2560
zhu le mian 	煮了麪	c=1 d=1 t=1278
zhu mian 	煮麪	c=1 d=1 t=3387
zhu shi 	註釋	c=1 d=1 t=2787
zhu tang 	煮湯	c=1 d=1 t=1302
zhu ti 	主題	c=1 d=1 t=2004
zhu yao 	主要	c=6 d=1.04787 t=4742
zhu yi 	主義	c=1 d=1 t=3432
zhu yi 	注意	c=3 d=1 t=5393
zhuan 	賺	c=3 d=1.06654 t=6850
zhuan 	轉	c=3 d=1 t=6307
zhuan dao 	轉到	c=1 d=1 t=319
zhuan ji 	專輯	c=1 d=1 t=7333
zhuan ji 	轉機	c=2 d=1.97531 t=6688
zhuan qian 	賺錢	c=3 d=1.00194 t=2069
zhuan ye 	專業	c=1 d=1 t=2884
zhuang 	裝	c=2 d=1 t=7001
zhuang bei 	裝備	c=1 d=1 t=1680
zhuang bi 	裝比	c=1 d=1 t=3837
zhuang dao 	撞到	c=1 d=1 t=225
zhuang tai 	狀態	c=4 d=1 t=7381
zhui qiu 	追求	c=1 d=1 t=6845
zhui xun 	追尋	c=1 d=1 t=1987
zhui zhai 	追債	c=1 d=1 t=800
zhun 	準	c=1 d=1 t=4612
zhun bei 	準備	c=6 d=1.44385 t=5336
zhun que 	準確	c=3 d=1.99501 t=5424
zhun que lv 	準確率	c=1 d=1 t=1381
zhuo mian 	桌面	c=1 d=1 t=3852
zhuo mo 	琢磨	c=3 d=1 t=6121
zhuo you 	桌遊	c=2 d=1.93239 t=7314
zi 	字	c=2 d=1.20089 t=2488
zi ding yi 	自定義	c=1 d=1 t=3
zi dong 	自動	c=2 d=1 t=5994
zi ji 	自己	c=19 d=1.01782 t=6855
zi liao 	資料	c=1 d=1 t=5128
zi ti 	字體	c=2 d=1.00078 t=3600
zi yuan 	資源	c=1 d=1 t=5802
zi zhi li 	自制力	c=1 d=1 t=2387
zong shi 	總是	c=1 d=1 t=780
zong zhi 	總之	c=1 d=1 t=821
zou 	走	c=8 d=1.23571 t=6939
zou dao 	走到	c=1 d=1 t=4555
zou wan 	走完	c=1 d=1 t=4527
zu 	組	c=1 d=1 t=134
zu cheng 	組成	c=1 d=1 t=183
zu gou 	足夠	c=1 d=1 t=5091
zu hao 	組好	c=1 d=1 t=5210
zui 	最	c=1 d=1 t=5610
zui ai 	最愛	c=0 d=0.1 t=4761
zui ai chi 	最愛吃	c=1 d=1 t=4762
zui da 	嘴大	c=1 d=1 t=960
zui da 	最大	c=1 d=1 t=1790
zui diao 	最屌	c=1 d=1 t=2579
zui hao 	最好	c=2 d=1.00001 t=5956
zui hou 	最後	c=4 d=1.18731 t=7140
zui jin 	最近	c=1 d=1 t=1557
zui xin 	最新	c=3 d=2.40197 t=7334
zui zao 	最早	c=2 d=1 t=6577
zui zhong 	最終	c=2 d=1 t=7356
zui zhong yao 	最重要	c=1 d=1 t=2160
zuo 	做	c=17 d=1.00411 t=7095
zuo fan 	做飯	c=3 d=1.95601 t=3681
zuo kong 	做空	c=1 d=1 t=593
zuo le 	做了	c=1 d=1 t=2907
zuo mo 	作摩	c=2 d=1.95123 t=6120
zuo pin 	作品	c=1 d=1 t=2060
zuo shang 	左上	c=1 d=1 t=5907
zuo shang jiao 	左上角	c=1 d=1 t=6018
zuo tian 	昨天	c=3 d=1.07844 t=1845
zuo wan 	做完	c=1 d=1 t=3319
zuo wei 	作爲	c=1 d=1 t=7057
zuo yan jiang 	做演講	c=1 d=1 t=2079
zuo ye 	作業	c=8 d=1.00006 t=7239
zuo yi tao 	做一套	c=1 d=1 t=6394
zuo yong 	作用	c=1 d=1 t=1393
zuo zuo ye 	做作業	c=1 d=1 t=2053
